,Season,Date,Guests
178,S02E13,2004-09-22,Gwyneth Paltrow/Mark McGrath/Brian Wilson
179,S02E14,2004-09-23,David Spade/Laura Dern/Ricky Fante
180,S02E15,2004-09-24,Naomi Watts/Angela Bassett
181,S02E16,2004-09-27,Lauren Graham/PeterBoyle/Patti Scialfa
182,S02E17,2004-09-28,Amy Brenneman/Keith Urban
183,S02E18,2004-09-29,Donald Trump/LL Cool J
184,S02E19,2004-09-30,Lance Armstrong/K.D. Lang
185,S02E20,2004-10-01,Rob Lowe/Fran Drescher
186,S02E21,2004-10-04,John Travolta/Mase
187,S02E22,2004-10-05,Leah Remini/Heart
188,S02E23,2004-10-06,Martin Short/Tyra Banks/Aron Ralston
189,S02E24,2004-10-07,Anthony LaPaglia/Joss Stone
190,S02E25,2004-10-08,Wanda Sykes/Carl Reiner
191,S02E26,2004-10-11,Ray Romano/Kaley Cuoco
192,S02E27,2004-10-12,Hilary Duff/Taye Diggs
193,S02E28,2004-10-13,Jimmy Fallon/Kyra Sedgwick
194,S02E29,2004-10-14,Annette Bening/Richard Marx/Nick Lachey
195,S02E30,2004-10-15,Robin Williams/Tears For Fears
196,S02E31,2004-10-18,Kelly Preston/Drew Carey
197,S02E32,2004-10-19,Queen Latifah/Rupert Everett
198,S02E33,2004-10-20,Martin Sheen/Drea DeMatteo
199,S02E34,2004-10-21,Susan Sarandon/Dermot Mulroney
200,S02E35,2004-10-22,Rod Stewart/Christina Applegate
201,S02E36,2004-10-25,Jason Alexander/Houston/Serena Williams
202,S02E37,2004-10-26,Courtney Thorne-Simtih/Jimmy Kimmel
203,S02E38,2004-10-27,Anthony Lapaglia/Alanis Morissetter/Amanda Bynes
204,S02E39,2004-10-28,James Spader/Debbie Reynolds
205,S02E40,2004-10-29,Alyssa Milano/David Copperfield/Elizabeth Mule (Halloween Show)
206,S02E41,2004-11-01,Roseanne Barr/Orlando Jones
207,S02E42,2004-11-02,Kevin James/Shannen Doherty
208,S02E43,2004-11-03,Teri Hatcher/Shane West
209,S02E44,2004-11-04,Will & Grace Cast
210,S02E45,2004-11-05,Samuel L. Jackson/David Ortiz/Rachel Bilson
211,S02E46,2004-11-08,Sir Elton John
212,S02E47,2004-11-09,Jamie Foxx/Jeffrey Tambor
213,S02E48,2004-11-10,Ashley Judd/Ruben Studdard
214,S02E49,2004-11-11,Kate Winslet/Chad Michael Murray/Thom Filicia
215,S02E50,2004-11-12,Teri Hatcher/Freddy Adu/Maroon 5
216,S02E51,2004-11-15,Woody Harrelson/Venus Williams/Jamie Oliver
217,S02E52,2004-11-16,Pierce Bronson/Matthew Fox
218,S02E53,2004-11-17,Allison Janney/Alicia Keys
219,S02E54,2004-11-18,John Goodman/Marcia Cross/Nigella Lawson
220,S02E55,2004-11-19,Matt Leblanc/Denise Richards
221,S02E56,2004-11-22,Jamie Lee Curtis/Fantasia
222,S02E57,2004-11-23,Tim Allen/Eva Longoria/Chingy
223,S02E58,2004-11-24,America's Soldier Tribute/Tom Hanks/Gwen Stefani
224,S02E59,2004-11-25,Brad Garrett/Jason Mraz/Carly Patterson
225,S02E60,2004-11-26,Jude Law/Ty Pennington
226,S02E61,2004-11-29,Colin Farrell/Lenny Kravitz
227,S02E62,2004-11-30,Robert Downey Jr./Christine Lahti
228,S02E63,2004-12-01,Angelina Jolie/Snoop Dogg/Pharrell Williams
229,S02E64,2004-12-02,Hilary Swank/Jason Randall
230,S02E65,2004-12-03,Julia Louis Dreyfuss/William H. Macy/Tatiana Totmianina/Maxim Marinin
231,S02E66,2004-12-06,Kevin Kline/Amy Poehler
232,S02E67,2004-12-07,Liam Nesson/George Lopez
233,S02E68,2004-12-08,Natalie Portman/Gary Marshall
234,S02E69,2004-12-09,Zach Braff/Parker Posey
235,S02E70,2004-12-10,Jane Kaczmarek/Jesse Metcalfe
236,S02E71,2004-12-13,Jon Cryer/Jessica Biel/Jerry Gordon
237,S02E72,2004-12-14,Stevie Wonder/Andy Dick
238,S02E73,2004-12-15,Melina Kanakaredes/Mekhi Phifer/Jem
239,S02E74,2004-12-16,Jeff Bridges/Lindsay Lohan/Holly Karolkowski
240,S02E75,2004-12-17,Celine Dion/Freddie Highmore
241,S02E76,2005-01-03,Ben Stiller/Sara Rue/Sarah McLachlan
242,S02E77,2005-01-04,Dustin Hoffman/Carmen Electra
243,S02E78,2005-01-05,Jimmy Smits/Laura Prepon
244,S02E79,2005-01-06,Jeff Goldblum/Kimberley Locke/Emma Roberts
245,S02E80,2005-01-07,Dennis Quaid/Jill Hennessy
246,S02E81,2005-01-10,Nicole Kidman/Jimmy Buffett
247,S02E82,2005-01-11,Don Cheadle/Betty White/Kratt Brothers
248,S02E83,2005-01-12,Scarlett Johansson/Carl Reiner
249,S02E84,2005-01-13,Steve Harvey/Jennifer Lopez
250,S02E85,2005-01-14,Michael Keaton/Oliver Platt/John Legend
251,S02E86,2005-01-17,Ryan Seacrest/JoJo/James Denton
252,S02E87,2005-01-18,Topher Grace/Evangeline Lilly
253,S02E88,2005-01-19,Susan Sarahdon/Wyclef Jean/Enrique Murciano
254,S02E89,2005-01-20,Barry Manilow/Maria Bello
255,S02E90,2005-01-21,Minnie Driver/Treat Williams
256,S02E91,2005-01-24,Jimmy Smits/Joan Lunden
257,S02E92,2005-01-25,Ice Cube/Jen Schefft
258,S02E93,2005-01-26,Paris Hilton/Ciara
259,S02E94,2005-01-27,Paul Reiser/Helen Hunt/Elisabeth Shue
260,S02E95,2005-01-28,Bonnie Hunt/Kelly Clarkson
261,S02E96,2005-01-31,Susan Lucci/Tara Reid
262,S02E97,2005-02-01,Amy Brenneman/Faith Ford/Betty Erickson
263,S02E98,2005-02-02,Garry Shandling/Aisha Tyler/Houston
264,S02E99,2005-02-03,Kiefer Sutherland/Vanessa Marcil/Wilma McNabb
265,S02E100,2005-02-04,Cate Blanchett
266,S02E101,2005-02-07,Leah Remini/Ashanti
267,S02E102,2005-02-08,Lauren Graham/Alex Trebek/Christian Delpech
268,S02E103,2005-02-09,Tina Turner/Martin Sheen
269,S02E104,2005-02-10,Debra Messing/Rod Stewart/Jeffrey Tambor
270,S02E105,2005-02-11,William Shatner/Avril Lavigne/Rosie Perez
271,S02E106,2005-02-14,Allison Janney/Laura Linney/Loretta Lynn
272,S02E107,2005-02-15,Dennis Franz/Mo'Nique
273,S02E108,2005-02-16,Simon Cowell/Emily Procter
274,S02E109,2005-02-17,Noah Wylie/Sean Astin
275,S02E110,2005-02-18,Nicolette Sheridan/Jamie Kennedy
276,S02E111,2005-02-21,Ray Romano/Nicole Richie/Jesse McCartney
277,S02E112,2005-02-22,Chris Rock/Peter Boyle
278,S02E113,2005-02-23,Patricia Heaton/Benjamin McKenzie
279,S02E114,2005-02-24,Bob Newhart/Sean Hayes
280,S02E115,2005-02-25,Brad Garrett/Luke Perry/Jennie Garth
281,S02E116,2005-02-28,Diane Sawyer/Jeffrey Tambor
282,S02E117,2005-03-01,Vince Vaughn/Miss Elliott
283,S02E118,2005-03-02,John Travolta/Faye Dunaway
284,S02E119,2005-03-03,Jennifer Love Hewitt/Gerard Butler/Austin Preiss
285,S02E120,2005-03-04,Vin Diesel/3 Doors Down/Annasophia Robb
286,S02E121,2005-03-07,The Rock/Vanessa Marcil
287,S02E122,2005-03-08,Bruce Willis/Constance Marie
288,S02E123,2005-03-09,Penelope Cruz/Carson Daly/Chelsea Dock
289,S02E124,2005-03-10,Mel Gibson/Joan Allen
290,S02E125,2005-03-11,Barry Manilow/Maria Bello
291,S02E126,2005-03-14,Michael Chiklis/Gavin DeGraw/Kristin Bell
292,S02E127,2005-03-15,Glenn Close/Kevin Pollak/Tori Amos
293,S02E128,2005-03-16,Kelsey Grammer/Brian Williams
294,S02E129,2005-03-17,John Stamos/Christina Milian
295,S02E130,2005-03-18,Adrien Brody/Sherri Shepherd
296,S02E131,2005-03-21,Andie MacDowell/Mike O'Malley
297,S02E132,2005-03-22,Ashton Kutcher/Julie Bowen/Fantasia Burino/Fan Yang
298,S02E133,2005-03-23,Elijah Wood/Florence Henderson
